Anexo;Código;Fator R;Alíquota;Atendido;Descrição
II;1020-1/01;Não;4.5;Não;Preservação de peixes, crustáceos e moluscos
II;1020-1/02;Não;4.5;Não;Fabricação de conservas de peixes, crustáceos e moluscos
II;1031-7/00;Não;4.5;Não;Fabricação de conservas de frutas
II;1032-5/01;Não;4.5;Não;Fabricação de conservas de palmito
II;1032-5/99;Não;4.5;Não;Fabricação de conservas de legumes e outros vegetais, exceto palmito
II;1033-3/01;Não;4.5;Não;Fabricação de sucos concentrados de frutas, hortaliças e legumes
II;1033-3/02;Não;4.5;Não;Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados
II;1041-4/00;Não;4.5;Não;Fabricação de óleos vegetais em bruto, exceto óleo de milho
II;1042-2/00;Não;4.5;Não;Fabricação de óleos vegetais refinados, exceto óleo de milho
II;1043-1/00;Não;4.5;Não;Fabricação de margarina e outras gorduras vegetais e de óleos não-comestíveis de animais
II;1051-1/00;Não;4.5;Não;Preparação do leite
II;1052-0/00;Não;4.5;Não;Fabricação de laticínios
II;1053-8/00;Não;4.5;Não;Fabricação de sorvetes e outros gelados comestíveis
II;1061-9/01;Não;4.5;Não;Beneficiamento de arroz
II;1061-9/02;Não;4.5;Não;Fabricação de produtos do arroz
II;1062-7/00;Não;4.5;Não;Moagem de trigo e fabricação de derivados
II;1063-5/00;Não;4.5;Não;Fabricação de farinha de mandioca e derivados
II;1064-3/00;Não;4.5;Não;Fabricação de farinha de milho e derivados, exceto óleos de milho
II;1065-1/01;Não;4.5;Não;Fabricação de amidos e féculas de vegetais
II;1065-1/02;Não;4.5;Não;Fabricação de óleo de milho em bruto
II;1065-1/03;Não;4.5;Não;Fabricação de óleo de milho refinado
II;1066-0/00;Não;4.5;Não;Fabricação de alimentos para animais
II;1069-4/00;Não;4.5;Não;Moagem e fabricação de produtos de origem vegetal não especificados anteriormente
II;1071-6/00;Não;4.5;Não;Fabricação de açúcar em bruto
II;1072-4/01;Não;4.5;Não;Fabricação de açúcar de cana refinado
II;1072-4/02;Não;4.5;Não;Fabricação de açúcar de cereais (dextrose) e de beterraba
II;1081-3/01;Não;4.5;Não;Beneficiamento de café
II;1081-3/02;Não;4.5;Não;Torrefação e moagem de café
II;1082-1/00;Não;4.5;Não;Fabricação de produtos à base de café
II;1091-1/00;Não;4.5;Não;Fabricação de produtos de panificação
II;1091-1/01;Não;4.5;Não;Fabricação de produtos de panificação industrial
I;1091-1/02;Não;4.0;Não;Fabricação de produtos de padaria e confeitaria com predominância de produção própria
II;1092-9/00;Não;4.5;Não;Fabricação de biscoitos e bolachas
II;1093-7/01;Não;4.5;Não;Fabricação de produtos derivados do cacau e de chocolates
II;1093-7/02;Não;4.5;Não;Fabricação de frutas cristalizadas, balas e semelhantes
II;1094-5/00;Não;4.5;Não;Fabricação de massas alimentícias
II;1095-3/00;Não;4.5;Não;Fabricação de especiarias, molhos, temperos e condimentos
II;1096-1/00;Não;4.5;Não;Fabricação de alimentos e pratos prontos
II;1099-6/01;Não;4.5;Não;Fabricação de vinagres
II;1099-6/02;Não;4.5;Não;Fabricação de pós alimentícios
II;1099-6/03;Não;4.5;Não;Fabricação de fermentos e leveduras
II;1099-6/04;Não;4.5;Não;Fabricação de gelo comum
II;1099-6/05;Não;4.5;Não;Fabricação de produtos para infusão (chá, mate, etc.)
II;1099-6/06;Não;4.5;Não;Fabricação de adoçantes naturais e artificiais
II;1099-6/07;Não;4.5;Não;Fabricação de alimentos dietéticos e complementos alimentares
II;1099-6/99;Não;4.5;Não;Fabricação de outros produtos alimentícios não especificados anteriormente
II;1121-6/00;Não;4.5;Não;Fabricação de águas envasadas
II;1122-4/02;Não;4.5;Não;Fabricação de chá mate e outros chás prontos para consumo
II;1122-4/04;Não;4.5;Não;Fabricação de bebidas isotônicas
II;1210-7/00;Não;4.5;Não;Processamento industrial do fumo
II;1311-1/00;Não;4.5;Não;Preparação e fiação de fibras de algodão
II;1312-0/00;Não;4.5;Não;Preparação e fiação de fibras têxteis naturais, exceto algodão
II;1313-8/00;Não;4.5;Não;Fiação de fibras artificiais e sintéticas
II;1314-6/00;Não;4.5;Não;Fabricação de linhas para costurar e bordar
II;1321-9/00;Não;4.5;Não;Tecelagem de fios de algodão
II;1322-7/00;Não;4.5;Não;Tecelagem de fios de fibras têxteis naturais, exceto algodão
II;1323-5/00;Não;4.5;Não;Tecelagem de fios de fibras artificiais e sintéticas
II;1330-8/00;Não;4.5;Não;Fabricação de tecidos de malha
II;1340-5/01;Não;4.5;Não;Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário
II;1340-5/02;Não;4.5;Não;Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário
II;1340-5/99;Não;4.5;Não;Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário
II;1351-1/00;Não;4.5;Não;Fabricação de artefatos têxteis para uso doméstico
II;1352-9/00;Não;4.5;Não;Fabricação de artefatos de tapeçaria
II;1353-7/00;Não;4.5;Não;Fabricação de artefatos de cordoaria
II;1354-5/00;Não;4.5;Não;Fabricação de tecidos especiais, inclusive artefatos
II;1359-6/00;Não;4.5;Não;Fabricação de outros produtos têxteis não especificados anteriormente
II;1411-8/01;Não;4.5;Não;Confecção de roupas íntimas
II;1411-8/02;Não;4.5;Não;Facção de roupas íntimas
II;1412-6/01;Não;4.5;Não;Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida
II;1412-6/02;Não;4.5;Não;Confecção, sob medida, de peças do vestuário, exceto roupas íntimas
II;1412-6/03;Não;4.5;Não;Facção de peças do vestuário, exceto roupas íntimas
II;1413-4/01;Não;4.5;Não;Confecção de roupas profissionais, exceto sob medida
II;1413-4/02;Não;4.5;Não;Confecção, sob medida, de roupas profissionais
II;1413-4/03;Não;4.5;Não;Facção de roupas profissionais
II;1414-2/00;Não;4.5;Não;Fabricação de acessórios do vestuário, exceto para segurança e proteção
II;1421-5/00;Não;4.5;Não;Fabricação de meias
II;1422-3/00;Não;4.5;Não;Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias
II;1510-6/00;Não;4.5;Não;Curtimento e outras preparações de couro
II;1521-1/00;Não;4.5;Não;Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material
II;1529-7/00;Não;4.5;Não;Fabricação de artefatos de couro não especificados anteriormente
II;1531-9/01;Não;4.5;Não;Fabricação de calçados de couro
III;1531-9/02;Não;6.0;Não;Acabamento de calçados de couro sob contrato
II;1532-7/00;Não;4.5;Não;Fabricação de tênis de qualquer material
II;1533-5/00;Não;4.5;Não;Fabricação de calçados de material sintético
II;1539-4/00;Não;4.5;Não;Fabricação de calçados de materiais não especificados anteriormente
II;1540-8/00;Não;4.5;Não;Fabricação de partes para calçados, de qualquer material
II;1610-2/01;Não;4.5;Não;Serrarias com desdobramento de madeira
II;1621-8/00;Não;4.5;Não;Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada
II;1622-6/01;Não;4.5;Não;Fabricação de casas de madeira pré-fabricadas
II;1622-6/02;Não;4.5;Não;Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais
II;1622-6/99;Não;4.5;Não;Fabricação de outros artigos de carpintaria para construção
II;1623-4/00;Não;4.5;Não;Fabricação de artefatos de tanoaria e de embalagens de madeira
II;1629-3/01;Não;4.5;Não;Fabricação de artefatos diversos de madeira, exceto móveis
II;1629-3/02;Não;4.5;Não;Fabricação de artefatos diversos de cortiça, bambu, palha, vime e outros materiais trançados, exceto móveis
II;1710-9/00;Não;4.5;Não;Fabricação de celulose e outras pastas para a fabricação de papel
II;1721-4/00;Não;4.5;Não;Fabricação de papel
II;1722-2/00;Não;4.5;Não;Fabricação de cartolina e papel-cartão
II;1731-1/00;Não;4.5;Não;Fabricação de embalagens de papel
II;1732-0/00;Não;4.5;Não;Fabricação de embalagens de cartolina e papel-cartão
II;1733-8/00;Não;4.5;Não;Fabricação de chapas e de embalagens de papelão ondulado
II;1741-9/01;Não;4.5;Não;Fabricação de formulários contínuos
II;1741-9/02;Não;4.5;Não;Fabricação de produtos de papel, cartolina, papel-cartão e papelão ondulado para uso comercial e de escritório
II;1742-7/01;Não;4.5;Não;Fabricação de fraldas descartáveis
II;1742-7/02;Não;4.5;Não;Fabricação de absorventes higiênicos
II;1742-7/99;Não;4.5;Não;Fabricação de produtos de papel para uso doméstico e higiênico-sanitário não especificados anteriormente
II;1749-4/00;Não;4.5;Não;Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente
II;1811-3/01;Não;4.5;Não;Impressão de jornais
II;1811-3/02;Não;4.5;Não;Impressão de livros, revistas e outras publicações periódicas
II;1812-1/00;Não;4.5;Não;Impressão de material de segurança
III;1813-0/01;Não;6.0;Não;Impressão de material para uso publicitário
III;1813-0/99;Não;6.0;Não;Impressão de material para outros usos
III;1821-1/00;Não;6.0;Não;Serviços de pré-impressão
III;1822-9/00;Não;6.0;Não;Serviços de acabamentos gráficos
III;1822-9/01;Não;6.0;Não;Serviços de encadernação e plastificação
III;1822-9/99;Não;6.0;Não;Serviços de acabamentos gráficos, exceto encadernação e plastificação
III;1830-0/01;Não;6.0;Não;Reprodução de som em qualquer suporte
III;1830-0/02;Não;6.0;Não;Reprodução de vídeo em qualquer suporte
V;1830-0/03;Não;15.5;Não;Reprodução de software em qualquer suporte
II;1910-1/00;Não;4.5;Não;Coquerias
II;1921-7/00;Não;4.5;Não;Fabricação de produtos do refino de petróleo
II;01/05/1922;Não;4.5;Não;Formulação de combustíveis
II;02/05/1922;Não;4.5;Não;Rerrefino de óleos lubrificantes
II;1922-5/99;Não;4.5;Não;Fabricação de outros produtos derivados do petróleo, exceto produtos do refino
II;1931-4/00;Não;4.5;Não;Fabricação de álcool
II;1932-2/00;Não;4.5;Não;Fabricação de biocombustíveis, exceto álcool
II;2011-8/00;Não;4.5;Não;Fabricação de cloro e álcalis
II;2012-6/00;Não;4.5;Não;Fabricação de intermediários para fertilizantes
II;2013-4/00;Não;4.5;Não;Fabricação de adubos e fertilizantes
II;01/04/2013;Não;4.5;Não;Fabricação de adubos e fertilizantes organo-minerais
II;02/04/2013;Não;4.5;Não;Fabricação de adubos e fertilizantes, exceto organo-minerais
II;2014-2/00;Não;4.5;Não;Fabricação de gases industriais
II;01/03/2019;Não;4.5;Não;Elaboração de combustíveis nucleares
II;2019-3/99;Não;4.5;Não;Fabricação de outros produtos químicos inorgânicos não especificados anteriormente
II;2021-5/00;Não;4.5;Não;Fabricação de produtos petroquímicos básicos
II;2022-3/00;Não;4.5;Não;Fabricação de intermediários para plastificantes, resinas e fibras
II;2029-1/00;Não;4.5;Não;Fabricação de produtos químicos orgânicos não especificados anteriormente
II;2031-2/00;Não;4.5;Não;Fabricação de resinas termoplásticas
II;2032-1/00;Não;4.5;Não;Fabricação de resinas termofixas
II;2033-9/00;Não;4.5;Não;Fabricação de elastômeros
II;2040-1/00;Não;4.5;Não;Fabricação de fibras artificiais e sintéticas
II;2051-7/00;Não;4.5;Não;Fabricação de defensivos agrícolas
II;2052-5/00;Não;4.5;Não;Fabricação de desinfestantes domissanitários
II;2061-4/00;Não;4.5;Não;Fabricação de sabões e detergentes sintéticos
II;2062-2/00;Não;4.5;Não;Fabricação de produtos de limpeza e polimento
II;2063-1/00;Não;4.5;Não;Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal
II;2071-1/00;Não;4.5;Não;Fabricação de tintas, vernizes, esmaltes e lacas
II;2072-0/00;Não;4.5;Não;Fabricação de tintas de impressão
II;2073-8/00;Não;4.5;Não;Fabricação de impermeabilizantes, solventes e produtos afins
II;2091-6/00;Não;4.5;Não;Fabricação de adesivos e selantes
II;02/04/2092;Não;4.5;Não;Fabricação de artigos pirotécnicos
II;03/04/2092;Não;4.5;Não;Fabricação de fósforos de segurança
II;2093-2/00;Não;4.5;Não;Fabricação de aditivos de uso industrial
II;2094-1/00;Não;4.5;Não;Fabricação de catalisadores
II;01/01/2099;Não;4.5;Não;Fabricação de chapas, filmes, papéis e outros materiais e produtos químicos para fotografia
II;2099-1/99;Não;4.5;Não;Fabricação de outros produtos químicos não especificados anteriormente
II;2110-6/00;Não;4.5;Não;Fabricação de produtos farmoquímicos
II;01/01/2121;Não;4.5;Não;Fabricação de medicamentos alopáticos para uso humano
II;02/01/2121;Não;4.5;Não;Fabricação de medicamentos homeopáticos para uso humano
II;03/01/2121;Não;4.5;Não;Fabricação de medicamentos fitoterápicos para uso humano
II;2122-0/00;Não;4.5;Não;Fabricação de medicamentos para uso veterinário
II;2123-8/00;Não;4.5;Não;Fabricação de preparações farmacêuticas
II;2211-1/00;Não;4.5;Não;Fabricação de pneumáticos e de câmaras-de-ar
II;2219-6/00;Não;4.5;Não;Fabricação de artefatos de borracha não especificados anteriormente
II;2221-8/00;Não;4.5;Não;Fabricação de laminados planos e tubulares de material plástico
II;2222-6/00;Não;4.5;Não;Fabricação de embalagens de material plástico
II;2223-4/00;Não;4.5;Não;Fabricação de tubos e acessórios de material plástico para uso na construção
II;01/03/2229;Não;4.5;Não;Fabricação de artefatos de material plástico para uso pessoal e doméstico
II;02/03/2229;Não;4.5;Não;Fabricação de artefatos de material plástico para usos industriais
II;03/03/2229;Não;4.5;Não;Fabricação de artefatos de material plástico para uso na construção, exceto tubos e acessórios
II;2229-3/99;Não;4.5;Não;Fabricação de artefatos de material plástico para outros usos não especificados anteriormente
II;2311-7/00;Não;4.5;Não;Fabricação de vidro plano e de segurança
II;2312-5/00;Não;4.5;Não;Fabricação de embalagens de vidro
II;2319-2/00;Não;4.5;Não;Fabricação de artigos de vidro
II;2320-6/00;Não;4.5;Não;Fabricação de cimento
II;01/03/2330;Não;4.5;Não;Fabricação de estruturas pré-moldadas de concreto armado, em série e sob encomenda
II;02/03/2330;Não;4.5;Não;Fabricação de artefatos de cimento para uso na construção
II;03/03/2330;Não;4.5;Não;Fabricação de artefatos de fibrocimento para uso na construção
II;04/03/2330;Não;4.5;Não;Fabricação de casas pré-moldadas de concreto
II;05/03/2330;Não;4.5;Não;Preparação de massa de concreto e argamassa para construção
II;2330-3/99;Não;4.5;Não;Fabricação de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes
II;2341-9/00;Não;4.5;Não;Fabricação de produtos cerâmicos refratários
II;01/07/2342;Não;4.5;Não;Fabricação de azulejos e pisos
II;02/07/2342;Não;4.5;Não;Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos
II;01/04/2349;Não;4.5;Não;Fabricação de material sanitário de cerâmica
II;2349-4/99;Não;4.5;Não;Fabricação de produtos cerâmicos não-refratários não especificados anteriormente
II;01/05/2391;Não;4.5;Não;Britamento de pedras, exceto associado à extração
II;02/05/2391;Não;4.5;Não;Aparelhamento de pedras para construção, exceto associado à extração
II;03/05/2391;Não;4.5;Não;Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras
II;2392-3/00;Não;4.5;Não;Fabricação de cal e gesso
II;01/01/2399;Não;4.5;Não;Decoração, lapidação, gravação, vitrificação e outros trabalhos em cerâmica, louça, vidro e cristal
II;02/01/2399;Não;4.5;Não;Fabricação de abrasivos
II;2399-1/99;Não;4.5;Não;Fabricação de outros produtos de minerais não-metálicos não especificados anteriormente
II;2411-3/00;Não;4.5;Não;Produção de ferro-gusa
